ID,Question,Ground Truth,Ground Truth ID,Model Answer,Retrieved Chunks Used,Retrieved IDs,Retrieval Accuracy,Processing Time (s),Status
11,What happens if my PPT score is below 50.00% for Architecture?,Scores lower than 50.00% are classified for 'Realignment' to another program.,earist_handbook_2021_program_cutoff_scores," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you have about your studies at EARIST.

Based on the information provided in the Student Handbook 2021, if your Program Preparedness Test (PPT) score for Architecture is below 50.00%, you will be placed on the Realignment category. This means that you may need to undergo an Enhancement Program to improve your skills in specific areas related to Architecture.

The Enhancement Program requires you to enroll in and pass one to two enhancement courses during your first year. These courses are designed to help you develop the necessary competencies to meet the requirements for your chosen program.

It's important to note that meeting the minimum admission requirements does not guarantee acceptance into your preferred program. The Institute reserves the right to make final decisions based on various factors, including your overall academic performance and suitability for the program.

If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] Student Handbook 2021 (ID: earist_handbook_2021_program_cutoff_scores): Under Article I Admission Policy, Section A (Screening Level 3), the EARIST Student Handbook 2021 es...
[2] Student Handbook 2021 (ID: earist_handbook_2021_screening_process_levels): Under Article I Admission Policy, the EARIST Student Handbook 2021 mandates a three-level screening ...
[3] EARIST Curriculum June 2018 (ID: curriculum_earist_bs_architecture): Comprehensive curriculum for the Bachelor of Science in Architecture (BS Arch) under the College of ...
","earist_handbook_2021_program_cutoff_scores, earist_handbook_2021_screening_process_levels, curriculum_earist_bs_architecture",1,10.95,Success
12,Are shifters required to take the Program Preparedness Test (PPT)?,"Yes, the procedure is applicable to new students, shifters, and transferees.",vpaa_colleges_admission_enrollment_interview," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'm here to guide you through your questions about course adjustments, enrollment, and other academic-related matters.

Regarding your question, shifters are not required to take the Program Preparedness Test (PPT). However, they are required to take an 'Academic Program Evaluation' and a 'Shifter's Form' as part of the enrollment process for shifters at EARIST.

If you have any further questions or need assistance with any other topic, please feel free to ask! I'm here to help you navigate your academic journey at EARIST.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_course_adjustments): The EARIST Colleges manage the approval process for students who need to modify their enrollment thr...
","vpaa_colleges_admission_enrollment_interview, srrms_enrollment_shifters_process, vpaa_colleges_cross_registration, srrms_subject_crediting_equivalency, vpaa_colleges_course_adjustments",1,6.6,Success
13,What is the 'Advisement Slip' in the enrollment process?,It is a document issued by the Program Chairperson after the interview phase of enrollment.,vpaa_colleges_admission_enrollment_interview," Based on my data from the EARIST Citizen's Charter 2025 (1st Edition), the 'Advisement Slip' is a document that is required during the enrollment process for continuing irregular students and returnees. It is issued by the College and serves as a guide for the student's subject enlisting and potential opt-out discussion. The Advisement Slip is one of the several requirements that the student must gather before proceeding with the enrollment process.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_tcp_graduate_school): Under the Student Registration and Records Management Services (SRRMS) at EARIST, the enrollment for...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_initiated_counseling): At EARIST, the Counseling and Testing Services office proactively reaches out to students through Gu...
[4] Proposed Office of the Registrar Manual (ID: sarms_registration_enrollment_list_procedures): The SARMS Manual details the Registration and Enrollment protocols. The process is guided by an Enro...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
","vpaa_colleges_admission_enrollment_interview, srrms_enrollment_tcp_graduate_school, sas_guidance_initiated_counseling, sarms_registration_enrollment_list_procedures, srrms_enrollment_irregular_returnee_onsite",1,6.01,Success
14,What is the GWA requirement for BS Criminology?,"A GWA of 90% is required, with no grade lower than 85%.",admission_reqs_2025_business_arts_service_official," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'm here to help you with any questions you have about our policies.

Based on the information provided in the EARIST Admission Posters for Academic Year 2025-2026, the GWA requirement for the Bachelor of Science in Criminology is 90%. This means that you need to maintain a General Weighted Average (GWA) of 90% throughout your academic journey in the College of Criminal Justice Education (CCJE).

It's important to note that there may be additional requirements or qualifications needed for admission into specific programs or colleges within EARIST. If you have any further questions or concerns, please don't hesitate to ask. I'm here to help!","[1] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_business_arts_service_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has updated th...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bscrim): Comprehensive curriculum for the Bachelor of Science in Criminology under the College of Criminal Ju...
[3] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[4] Student Handbook 2021 (ID: glossary_definitions_part_2_abbreviations): Under the General Information section, this chunk continues the definition of terms and lists offici...
","admission_reqs_2025_business_arts_service_official, curriculum_earist_bscrim, admission_reqs_2025_tech_eng_design_official, glossary_definitions_part_2_abbreviations",1,8.58,Success
15,Where is the Office of Admission Services located?,It is located on the ground floor of the Apilado Building.,earist_main_campus_office_directory_2025, I can assist you with that! The Office of Admission Services is located on the ground floor of the Apilado Building.,"[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: earist_main_campus_office_directory_2025): Under the EARIST Citizen's Charter 2025 (1st Edition), the university maintains a comprehensive dire...
[2] Proposed Office of the Registrar Manual (ID: sarms_office_location_layout_file_management): According to the Office Management section of the SARMS Manual, the Office of the Registrar is physi...
[3] EARIST Campus Directory (ID: earist_campus_directory_office_locations): The EARIST Campus Directory provides a comprehensive guide to the physical locations of all academic...
[4] Proposed Office of the Registrar Manual (ID: sarms_overview_mission_governance_functions): According to the Student Admission, Promotions, & Records Management Services (SARMS) Manual, the Of...
[5] EARIST Directory / Website Update (ID: earist_chiefs_of_offices_contact_info): In addition to the Executive Officials, the EARIST administration includes Chiefs of Offices who man...
","earist_main_campus_office_directory_2025, sarms_office_location_layout_file_management, earist_campus_directory_office_locations, sarms_overview_mission_governance_functions, earist_chiefs_of_offices_contact_info",1,6.29,Success
16,What is the ECAT score transmutation formula?,EARISTCAT Rating = (Total Score x 50 / No. of Items) + 50.,earist_handbook_2021_screening_process_levels," Based on my data from the Proposed Office of the Registrar Manual, the ECAT score transmutation formula is: EARISTCAT Rating = (Total Score x 50 / No. Of Items) + 50.","[1] Student Handbook 2021 (ID: earist_handbook_2021_screening_process_levels): Under Article I Admission Policy, the EARIST Student Handbook 2021 mandates a three-level screening ...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[5] Proposed Office of the Registrar Manual (ID: sarms_workflow_registration_to_encoding): The General Workflow at the Office of the Registrar follows a structured process spanning Pre-Regist...
","earist_handbook_2021_screening_process_levels, sas_guidance_testing_ecat_administration, admission_services_screening_and_application, vpaa_colleges_admission_enrollment_interview, sarms_workflow_registration_to_encoding",1,5.15,Success
17,Is there a fee for the ECAT administration?,"No, there are no fees associated with this testing service.",sas_guidance_testing_ecat_administration," Based on my data from the [Source 5: EARIST Citizen's Charter 2025 (1st Edition)], there are no fees associated with the ECAT administration. The process involves presenting an original copy of the Examination Permit to the Guidance Office Staff, who will receive, check, and sign the document. After this, the student proceeds to the ECAT administration proper, which lasts 1 hour and 30 minutes. Once the testing is complete, the Chief of the Guidance Office is responsible for scanning, summarizing, and forwarding the test results to the respective College Deans and posting them in the Pinnacle system.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_pre_enrollment_freshmen): All incoming first-year students and transferees at EARIST must undergo a health assessment before e...
[5] Proposed Office of the Registrar Manual (ID: sarms_workflow_registration_to_encoding): The General Workflow at the Office of the Registrar follows a structured process spanning Pre-Regist...
","sas_guidance_testing_ecat_administration, vpaa_colleges_admission_enrollment_interview, admission_services_screening_and_application, medical_dental_services_pre_enrollment_freshmen, sarms_workflow_registration_to_encoding",1,6.41,Success
18,What is the GWA requirement for the College of Computing Studies?,A GWA of 90% with no grade lower than 80.,admission_reqs_2025_tech_eng_design_official," Hello! I'm AmBOT, your friendly student assistant at EARIST.

For the College of Computing Studies (CCS), applicants need a GWA (General Weighted Average) of 90%. This means that the average of all your grades, including general education and major courses, should be 90% or higher. Additionally, there should be no grade lower than 80% in any of your major courses.

If you have any more questions or need further assistance, please don't hesitate to ask! I'm here to help you navigate your academic journey at EARIST.","[1] EARIST Admission Posters A.Y. 2025-2026 & Social Media Directory (ID: admission_reqs_2025_tech_eng_design_official): According to the EARIST Admission Posters for Academic Year 2025-2026, the University has establishe...
[2] EARIST Curriculum June 2018 (ID: curriculum_earist_bscs): Comprehensive curriculum for the Bachelor of Science in Computer Science (BSCS) under the College of...
[3] EARIST Curriculum June 2018 (ID: curriculum_earist_bsit): Comprehensive curriculum for the Bachelor of Science in Information Technology (BSIT) under the Coll...
","admission_reqs_2025_tech_eng_design_official, curriculum_earist_bscs, curriculum_earist_bsit",1,8.58,Success
19,How long does it take for ECAT results to be posted in Pinnacle?,"It takes 5 days for results to be summarized, forwarded, and posted.",sas_guidance_testing_ecat_administration," Hello! I'm AmBOT, your friendly student assistant at EARIST. I'd be happy to help you with your question about ECAT results posting in Pinnacle.

According to the EARIST Citizen's Charter 2025 (1st Edition), it takes 5 days for ECAT results to be posted in Pinnacle. This is after the Chief of the Guidance Office has scanned, summarized, and forwarded the test results to the respective College Deans. The results are then posted in the Pinnacle system.

If you have any further questions or need additional assistance, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[3] Student Handbook 2021 (ID: earist_handbook_2021_grading_system_rectification): Under Article II Academic Policies, the EARIST Student Handbook 2021 defines the Grading System and ...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_final_evaluation_graduating_onsite): For students who prefer or require an on-site process, the EARIST SRRMS provides a face-to-face appl...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_irregular_returnee_onsite): At EARIST, the enrollment process for continuing irregular students and returnees is handled on-site...
","sas_guidance_testing_ecat_administration, vpaa_colleges_admission_enrollment_interview, earist_handbook_2021_grading_system_rectification, srrms_final_evaluation_graduating_onsite, srrms_enrollment_irregular_returnee_onsite",1,6.8,Success
20,What documents do transferees need for admission?,"TOR or Certification of Grades, Good Moral Certificate, and a Transfer Credential/Honorable Dismissal.",earist_handbook_2021_admission_policy_requirements," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'm here to guide you through your questions about EARIST policies.

For transferees, the required documents for admission include:

1. A Notice of Admission or ECAT Result (secured from SRRMS)
2. An Accomplished Application Form
3. A Letter of Request recommending approval signed by the concerned program chairperson

Please note that these documents are necessary for the College Interview and Assessment phase of the admission and enrollment process. This phase takes 1 day and is free of charge.

If you have any further questions or need more information, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_shifters_process): Under the SRRMS at EARIST, the procedure for shifters facilitates the transition of students transfe...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_subject_crediting_equivalency): At EARIST, the SRRMS facilitates the crediting of subjects for transferees and subject equivalency f...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_cross_registration): At EARIST, cross-registration allows students to take specific subjects in other colleges or schools...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_pre_enrollment_freshmen): All incoming first-year students and transferees at EARIST must undergo a health assessment before e...
","srrms_enrollment_shifters_process, srrms_subject_crediting_equivalency, vpaa_colleges_cross_registration, vpaa_colleges_admission_enrollment_interview, medical_dental_services_pre_enrollment_freshmen",0,6.83,Success
21,Who is the current Chief of Admission Services?,Mr. Ferdinand DP. Alvarro.,sas_organizational_structure_2025," I'm sorry, I don't have that specific information in my current data. However, I can guide you to the right person or office to help you with your question. For enrollment and admission-related matters, you can contact the Admission Services office at EARIST. You can either visit their office or reach out to them through their email or phone number. If you prefer, I can provide you with their contact information so you can get in touch with them directly. Would you like me to do that for you?","[1] EARIST Directory / Website Update (ID: earist_chiefs_of_offices_contact_info): In addition to the Executive Officials, the EARIST administration includes Chiefs of Offices who man...
[2] Student Affairs and Services (SAS) Organizational Structure 2025 (ID: sas_organizational_structure_2025): According to the official Student Affairs and Services (SAS) Organizational Structure for the year 2...
[3] Proposed Office of the Registrar Manual (ID: sarms_overview_mission_governance_functions): According to the Student Admission, Promotions, & Records Management Services (SARMS) Manual, the Of...
[4] Proposed Office of the Registrar Manual (ID: sarms_personnel_assignments_and_manpower): The SARMS Manual outlines strict guidelines for Personnel Assignments and Manpower. A key operationa...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: admission_services_screening_and_application): At EARIST, the process for Admission is designed for external student clients (G2C) and is managed b...
","earist_chiefs_of_offices_contact_info, sas_organizational_structure_2025, sarms_overview_mission_governance_functions, sarms_personnel_assignments_and_manpower, admission_services_screening_and_application",1,6.9,Success
22,What health assessment is required before enrollment?,A pre-enrollment health assessment including a Chest X-ray.,medical_dental_services_pre_enrollment_freshmen," Hello! I'm AmBOT, your helpful student assistant at EARIST.

Before enrollment, all incoming first-year students and transferees are required to undergo a health assessment. This involves obtaining a Chest X-ray from a medical laboratory of their choice. Upon visiting the Medical Clinic, a Nurse or Medical Officer conducts a 20-minute interview and assessment. This is followed by a 30-minute consultation where the officer reviews the X-ray results. If there are medical findings, the student must provide an additional medical certificate from a specialist regarding the deficiency before the 'Fit to Enroll' form is signed. The entire process takes 1 hour and is free of charge.

If you have any further questions or need assistance with other topics, please don't hesitate to ask! I'm here to help.","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_pre_enrollment_freshmen): All incoming first-year students and transferees at EARIST must undergo a health assessment before e...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_ojt_medical_certificate): At EARIST, students preparing for their On-the-Job Training (OJT) must obtain a medical certificate ...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: srrms_enrollment_tcp_graduate_school): Under the Student Registration and Records Management Services (SRRMS) at EARIST, the enrollment for...
","medical_dental_services_pre_enrollment_freshmen, medical_dental_services_ojt_medical_certificate, sas_guidance_testing_ecat_administration, vpaa_colleges_admission_enrollment_interview, srrms_enrollment_tcp_graduate_school",1,7.41,Success
23,How long does the pre-enrollment health assessment take?,The entire process takes approximately 1 hour.,medical_dental_services_pre_enrollment_freshmen," Hello! I'm AmBOT, your helpful student assistant at EARIST. I'd be happy to help you with your question about the pre-enrollment health assessment.

Based on the provided context data, the pre-enrollment health assessment for first-year students and transferees at EARIST takes approximately 1 hour. During this time, the student undergoes a Chest X-ray, a 20-minute interview and assessment, and a 30-minute consultation with a Nurse or Medical Officer. If there are any medical findings, the student may need to provide an additional medical certificate from a specialist before the 'Fit to Enroll' form is signed. The entire process is free of charge.

If you have any further questions or need additional assistance, please don't hesitate to ask. I'm here to help!","[1] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_pre_enrollment_freshmen): All incoming first-year students and transferees at EARIST must undergo a health assessment before e...
[2] EARIST Citizen's Charter 2025 (1st Edition) (ID: sas_guidance_testing_ecat_administration): At EARIST, the Counseling and Testing Services office manages the administration of the EARIST Colle...
[3] EARIST Citizen's Charter 2025 (1st Edition) (ID: vpaa_colleges_admission_enrollment_interview): The EARIST Colleges facilitate student admission and enrollment by evaluating knowledge and aptitude...
[4] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_excuse_slip): EARIST students who have missed classes due to medical reasons must follow a standardized procedure ...
[5] EARIST Citizen's Charter 2025 (1st Edition) (ID: medical_dental_services_ojt_medical_certificate): At EARIST, students preparing for their On-the-Job Training (OJT) must obtain a medical certificate ...
","medical_dental_services_pre_enrollment_freshmen, sas_guidance_testing_ecat_administration, vpaa_colleges_admission_enrollment_interview, medical_dental_services_excuse_slip, medical_dental_services_ojt_medical_certificate",1,6.9,Success
